Date,Visitor,visitor_goals,Home,home_goals,goals_difference
10/12/2021,Pittsburgh Penguins,6,Tampa Bay Lightning,2,
10/12/2021,Seattle Kraken,3,Vegas Golden Knights,4,
10/13/2021,Winnipeg Jets,1,Anaheim Ducks,4,
10/13/2021,Chicago Blackhawks,2,Colorado Avalanche,4,
10/13/2021,Vancouver Canucks,2,Edmonton Oilers,3,
10/13/2021,Montreal Canadiens,1,Toronto Maple Leafs,2,
10/13/2021,New York Rangers,1,Washington Capitals,5,
10/14/2021,Montreal Canadiens,1,Buffalo Sabres,5,
10/14/2021,New York Islanders,3,Carolina Hurricanes,6,
10/14/2021,Arizona Coyotes,2,Columbus Blue Jackets,8,
10/14/2021,Tampa Bay Lightning,7,Detroit Red Wings,6,
10/14/2021,Pittsburgh Penguins,4,Florida Panthers,5,
10/14/2021,Vegas Golden Knights,2,Los Angeles Kings,6,
10/14/2021,Seattle Kraken,4,Nashville Predators,3,
10/14/2021,Dallas Stars,3,New York Rangers,2,
10/14/2021,Toronto Maple Leafs,2,Ottawa Senators,3,
10/15/2021,Minnesota Wild,2,Anaheim Ducks,1,
10/15/2021,Chicago Blackhawks,3,New Jersey Devils,4,
10/15/2021,Vancouver Canucks,5,Philadelphia Flyers,4,
10/16/2021,Dallas Stars,1,Boston Bruins,3,
10/16/2021,Arizona Coyotes,1,Buffalo Sabres,2,
10/16/2021,Seattle Kraken,1,Columbus Blue Jackets,2,
10/16/2021,St. Louis Blues,5,Colorado Avalanche,3,
10/16/2021,Vancouver Canucks,1,Detroit Red Wings,3,
10/16/2021,Calgary Flames,2,Edmonton Oilers,5,
10/16/2021,New York Islanders,1,Florida Panthers,5,
10/16/2021,Minnesota Wild,3,Los Angeles Kings,2,
10/16/2021,New York Rangers,3,Montreal Canadiens,1,
10/16/2021,Carolina Hurricanes,3,Nashville Predators,2,
10/16/2021,Chicago Blackhawks,2,Pittsburgh Penguins,5,
10/16/2021,Winnipeg Jets,3,San Jose Sharks,4,
10/16/2021,Ottawa Senators,1,Toronto Maple Leafs,3,
10/16/2021,Tampa Bay Lightning,2,Washington Capitals,1,
10/17/2021,Dallas Stars,2,Ottawa Senators,3,
10/18/2021,St. Louis Blues,7,Arizona Coyotes,4,
10/18/2021,Anaheim Ducks,3,Calgary Flames,2,
10/18/2021,Seattle Kraken,1,Philadelphia Flyers,6,
10/18/2021,New York Rangers,2,Toronto Maple Leafs,1,
10/19/2021,Vancouver Canucks,2,Buffalo Sabres,5,
10/19/2021,New York Islanders,4,Chicago Blackhawks,1,
10/19/2021,Columbus Blue Jackets,1,Detroit Red Wings,4,
10/19/2021,Anaheim Ducks,5,Edmonton Oilers,6,
10/19/2021,Winnipeg Jets,5,Minnesota Wild,6,
10/19/2021,San Jose Sharks,5,Montreal Canadiens,0,
10/19/2021,Seattle Kraken,2,New Jersey Devils,4,
10/19/2021,Los Angeles Kings,1,Nashville Predators,2,
10/19/2021,Dallas Stars,2,Pittsburgh Penguins,1,
10/19/2021,Florida Panthers,4,Tampa Bay Lightning,1,
10/19/2021,Colorado Avalanche,3,Washington Capitals,6,
10/20/2021,Boston Bruins,3,Philadelphia Flyers,6,
10/20/2021,St. Louis Blues,3,Vegas Golden Knights,1,
10/21/2021,Edmonton Oilers,5,Arizona Coyotes,1,
10/21/2021,New York Islanders,2,Columbus Blue Jackets,3,
10/21/2021,Vancouver Canucks,4,Chicago Blackhawks,1,
10/21/2021,Calgary Flames,3,Detroit Red Wings,0,
10/21/2021,Colorado Avalanche,1,Florida Panthers,4,
10/21/2021,Carolina Hurricanes,4,Montreal Canadiens,1,
10/21/2021,Washington Capitals,4,New Jersey Devils,1,
10/21/2021,New York Rangers,3,Nashville Predators,1,
10/21/2021,San Jose Sharks,2,Ottawa Senators,1,
10/21/2021,Anaheim Ducks,1,Winnipeg Jets,5,
10/22/2021,Boston Bruins,4,Buffalo Sabres,1,
10/22/2021,Los Angeles Kings,2,Dallas Stars,3,
10/22/2021,San Jose Sharks,5,Toronto Maple Leafs,3,
10/22/2021,Edmonton Oilers,5,Vegas Golden Knights,3,
10/23/2021,New York Islanders,3,Arizona Coyotes,0,
10/23/2021,Carolina Hurricanes,5,Columbus Blue Jackets,1,
10/23/2021,Anaheim Ducks,3,Minnesota Wild,4,
10/23/2021,Detroit Red Wings,1,Montreal Canadiens,6,
10/23/2021,Buffalo Sabres,1,New Jersey Devils,2,
10/23/2021,New York Rangers,3,Ottawa Senators,2,
10/23/2021,Florida Panthers,4,Philadelphia Flyers,2,
10/23/2021,Toronto Maple Leafs,1,Pittsburgh Penguins,7,
10/23/2021,Vancouver Canucks,4,Seattle Kraken,2,
10/23/2021,Los Angeles Kings,3,St. Louis Blues,7,
10/23/2021,Colorado Avalanche,4,Tampa Bay Lightning,3,
10/23/2021,Nashville Predators,4,Winnipeg Jets,6,
10/23/2021,Calgary Flames,4,Washington Capitals,3,
10/24/2021,San Jose Sharks,3,Boston Bruins,4,
10/24/2021,Detroit Red Wings,6,Chicago Blackhawks,3,
10/24/2021,Nashville Predators,5,Minnesota Wild,2,
10/24/2021,New York Islanders,2,Vegas Golden Knights,0,
10/25/2021,Tampa Bay Lightning,1,Buffalo Sabres,5,
10/25/2021,Toronto Maple Leafs,1,Carolina Hurricanes,4,
10/25/2021,Dallas Stars,1,Columbus Blue Jackets,4,
10/25/2021,Arizona Coyotes,3,Florida Panthers,5,
10/25/2021,Calgary Flames,5,New York Rangers,1,
10/25/2021,Washington Capitals,7,Ottawa Senators,5,
10/25/2021,Los Angeles Kings,0,St. Louis Blues,3,
10/26/2021,Winnipeg Jets,4,Anaheim Ducks,3,
10/26/2021,Vegas Golden Knights,3,Colorado Avalanche,1,
10/26/2021,Calgary Flames,5,New Jersey Devils,3,
10/26/2021,San Jose Sharks,1,Nashville Predators,3,
10/26/2021,Tampa Bay Lightning,5,Pittsburgh Penguins,1,
10/26/2021,Montreal Canadiens,1,Seattle Kraken,5,
10/26/2021,Minnesota Wild,3,Vancouver Canucks,2,
10/27/2021,Toronto Maple Leafs,3,Chicago Blackhawks,2,
10/27/2021,Vegas Golden Knights,3,Dallas Stars,2,
10/27/2021,Philadelphia Flyers,5,Edmonton Oilers,3,
10/27/2021,Boston Bruins,1,Florida Panthers,4,
10/27/2021,Detroit Red Wings,3,Washington Capitals,2,
10/28/2021,Buffalo Sabres,4,Anaheim Ducks,3,
10/28/2021,Boston Bruins,0,Carolina Hurricanes,3,
10/28/2021,Winnipeg Jets,3,Los Angeles Kings,2,
10/28/2021,Calgary Flames,4,Pittsburgh Penguins,0,
10/28/2021,Minnesota Wild,1,Seattle Kraken,4,
10/28/2021,Montreal Canadiens,4,San Jose Sharks,0,
10/28/2021,Colorado Avalanche,4,St. Louis Blues,3,
10/28/2021,Arizona Coyotes,1,Tampa Bay Lightning,5,
10/28/2021,Philadelphia Flyers,2,Vancouver Canucks,1,
10/29/2021,Chicago Blackhawks,3,Carolina Hurricanes,6,
10/29/2021,Ottawa Senators,4,Dallas Stars,1,
10/29/2021,Florida Panthers,3,Detroit Red Wings,2,
10/29/2021,Columbus Blue Jackets,0,New York Rangers,4,
10/29/2021,Anaheim Ducks,4,Vegas Golden Knights,5,
10/29/2021,Arizona Coyotes,0,Washington Capitals,2,
10/30/2021,Florida Panthers,2,Boston Bruins,3,
10/30/2021,Philadelphia Flyers,0,Calgary Flames,4,
10/30/2021,Minnesota Wild,1,Colorado Avalanche,4,
10/30/2021,Montreal Canadiens,2,Los Angeles Kings,5,
10/30/2021,New York Islanders,2,Nashville Predators,3,
10/30/2021,New Jersey Devils,4,Pittsburgh Penguins,2,
10/30/2021,Winnipeg Jets,1,San Jose Sharks,2,
10/30/2021,Chicago Blackhawks,0,St. Louis Blues,1,
10/30/2021,Detroit Red Wings,4,Toronto Maple Leafs,5,
10/30/2021,Edmonton Oilers,2,Vancouver Canucks,1,
10/31/2021,Montreal Canadiens,2,Anaheim Ducks,4,
10/31/2021,Arizona Coyotes,1,Carolina Hurricanes,2,
10/31/2021,Buffalo Sabres,2,Los Angeles Kings,3,
10/31/2021,Columbus Blue Jackets,4,New Jersey Devils,3,
10/31/2021,New York Rangers,3,Seattle Kraken,1,
11/1/2021,Ottawa Senators,1,Chicago Blackhawks,5,
11/1/2021,Seattle Kraken,2,Edmonton Oilers,5,
11/1/2021,Washington Capitals,2,Tampa Bay Lightning,3,
11/2/2021,New Jersey Devils,0,Anaheim Ducks,4,
11/2/2021,Nashville Predators,3,Calgary Flames,2,
11/2/2021,Ottawa Senators,4,Minnesota Wild,5,
11/2/2021,Detroit Red Wings,0,Montreal Canadiens,3,
11/2/2021,Arizona Coyotes,0,Philadelphia Flyers,3,
11/2/2021,Buffalo Sabres,3,San Jose Sharks,5,
11/2/2021,Vegas Golden Knights,0,Toronto Maple Leafs,4,
11/2/2021,New York Rangers,2,Vancouver Canucks,3,
11/2/2021,Dallas Stars,3,Winnipeg Jets,4,
11/3/2021,Carolina Hurricanes,4,Chicago Blackhawks,3,
11/3/2021,Columbus Blue Jackets,5,Colorado Avalanche,4,
11/3/2021,Nashville Predators,2,Edmonton Oilers,5,
11/3/2021,St. Louis Blues,2,Los Angeles Kings,3,
11/4/2021,Detroit Red Wings,1,Boston Bruins,5,
11/4/2021,Dallas Stars,4,Calgary Flames,3,
11/4/2021,Washington Capitals,4,Florida Panthers,5,
11/4/2021,New York Islanders,6,Montreal Canadiens,2,
11/4/2021,Vegas Golden Knights,5,Ottawa Senators,1,
11/4/2021,Philadelphia Flyers,2,Pittsburgh Penguins,3,
11/4/2021,Buffalo Sabres,2,Seattle Kraken,5,
11/4/2021,St. Louis Blues,5,San Jose Sharks,3,
11/4/2021,Tampa Bay Lightning,1,Toronto Maple Leafs,2,
11/5/2021,Arizona Coyotes,1,Anaheim Ducks,3,
11/5/2021,New York Rangers,5,Edmonton Oilers,6,
11/5/2021,New Jersey Devils,2,Los Angeles Kings,3,
11/5/2021,Nashville Predators,3,Vancouver Canucks,2,
11/5/2021,Chicago Blackhawks,1,Winnipeg Jets,5,
11/6/2021,Seattle Kraken,4,Arizona Coyotes,5,
11/6/2021,Detroit Red Wings,4,Buffalo Sabres,3,
11/6/2021,Colorado Avalanche,2,Columbus Blue Jackets,4,
11/6/2021,New York Rangers,0,Calgary Flames,6,
11/6/2021,Carolina Hurricanes,2,Florida Panthers,5,
11/6/2021,Vegas Golden Knights,5,Montreal Canadiens,2,
11/6/2021,Tampa Bay Lightning,5,Ottawa Senators,3,
11/6/2021,Minnesota Wild,5,Pittsburgh Penguins,4,
11/6/2021,New Jersey Devils,3,San Jose Sharks,2,
11/6/2021,Boston Bruins,2,Toronto Maple Leafs,5,
11/6/2021,New York Islanders,2,Winnipeg Jets,0,
11/6/2021,Philadelphia Flyers,2,Washington Capitals,1,
11/7/2021,St. Louis Blues,1,Anaheim Ducks,4,
11/7/2021,Nashville Predators,1,Chicago Blackhawks,2,
11/7/2021,Vegas Golden Knights,2,Detroit Red Wings,5,
11/7/2021,New York Islanders,2,Minnesota Wild,5,
11/7/2021,Dallas Stars,3,Vancouver Canucks,6,
11/8/2021,Florida Panthers,3,New York Rangers,4,
11/8/2021,Los Angeles Kings,5,Toronto Maple Leafs,1,
11/8/2021,Buffalo Sabres,3,Washington Capitals,5,
11/9/2021,Ottawa Senators,2,Boston Bruins,3,
11/9/2021,San Jose Sharks,4,Calgary Flames,1,
11/9/2021,Pittsburgh Penguins,2,Chicago Blackhawks,3,
11/9/2021,Edmonton Oilers,2,Detroit Red Wings,4,
11/9/2021,Los Angeles Kings,3,Montreal Canadiens,2,
11/9/2021,Florida Panthers,3,New Jersey Devils,7,
11/9/2021,Carolina Hurricanes,2,Tampa Bay Lightning,1,
11/9/2021,Anaheim Ducks,3,Vancouver Canucks,2,
11/9/2021,Seattle Kraken,2,Vegas Golden Knights,4,
11/9/2021,St. Louis Blues,3,Winnipeg Jets,2,
11/10/2021,Minnesota Wild,5,Arizona Coyotes,2,
11/10/2021,Nashville Predators,4,Dallas Stars,2,
11/10/2021,Toronto Maple Leafs,3,Philadelphia Flyers,0,
11/11/2021,Edmonton Oilers,5,Boston Bruins,3,
11/11/2021,Vancouver Canucks,1,Colorado Avalanche,7,
11/11/2021,Washington Capitals,2,Detroit Red Wings,0,
11/11/2021,Calgary Flames,2,Montreal Canadiens,4,
11/11/2021,New York Islanders,0,New Jersey Devils,4,
11/11/2021,Los Angeles Kings,2,Ottawa Senators,0,
11/11/2021,Florida Panthers,2,Pittsburgh Penguins,3,
11/11/2021,Anaheim Ducks,7,Seattle Kraken,4,
11/11/2021,Nashville Predators,4,St. Louis Blues,3,
11/11/2021,Minnesota Wild,2,Vegas Golden Knights,3,
11/11/2021,San Jose Sharks,1,Winnipeg Jets,4,
11/12/2021,Edmonton Oilers,2,Buffalo Sabres,3,
11/12/2021,Philadelphia Flyers,2,Carolina Hurricanes,1,
11/12/2021,Washington Capitals,4,Columbus Blue Jackets,3,
11/12/2021,Arizona Coyotes,1,Chicago Blackhawks,2,
11/12/2021,Calgary Flames,1,Toronto Maple Leafs,2,
11/13/2021,Toronto Maple Leafs,5,Buffalo Sabres,4,
11/13/2021,St. Louis Blues,2,Carolina Hurricanes,3,
11/13/2021,New York Rangers,5,Columbus Blue Jackets,3,
11/13/2021,San Jose Sharks,2,Colorado Avalanche,6,
11/13/2021,Philadelphia Flyers,2,Dallas Stars,5,
11/13/2021,Montreal Canadiens,2,Detroit Red Wings,3,
11/13/2021,Boston Bruins,5,New Jersey Devils,2,
11/13/2021,Arizona Coyotes,1,Nashville Predators,4,
11/13/2021,Pittsburgh Penguins,3,Ottawa Senators,6,
11/13/2021,Minnesota Wild,4,Seattle Kraken,2,
11/13/2021,Florida Panthers,2,Tampa Bay Lightning,3,
11/13/2021,Vancouver Canucks,4,Vegas Golden Knights,7,
11/13/2021,Los Angeles Kings,2,Winnipeg Jets,3,
11/14/2021,Vancouver Canucks,1,Anaheim Ducks,5,
11/14/2021,Montreal Canadiens,2,Boston Bruins,5,
11/14/2021,New Jersey Devils,3,New York Rangers,4,
11/14/2021,Calgary Flames,4,Ottawa Senators,0,
11/14/2021,Edmonton Oilers,5,St. Louis Blues,4,
11/14/2021,Pittsburgh Penguins,1,Washington Capitals,6,
11/15/2021,Detroit Red Wings,3,Columbus Blue Jackets,5,
11/15/2021,New York Islanders,1,Tampa Bay Lightning,4,
11/16/2021,Washington Capitals,2,Anaheim Ducks,3,
11/16/2021,Detroit Red Wings,2,Dallas Stars,5,
11/16/2021,New York Islanders,1,Florida Panthers,6,
11/16/2021,San Jose Sharks,4,Minnesota Wild,1,
11/16/2021,Montreal Canadiens,2,New York Rangers,3,
11/16/2021,Calgary Flames,1,Philadelphia Flyers,2,
11/16/2021,Buffalo Sabres,2,Pittsburgh Penguins,1,
11/16/2021,Arizona Coyotes,3,St. Louis Blues,2,
11/16/2021,Nashville Predators,0,Toronto Maple Leafs,3,
11/16/2021,Carolina Hurricanes,4,Vegas Golden Knights,2,
11/16/2021,Edmonton Oilers,2,Winnipeg Jets,5,
11/17/2021,Washington Capitals,2,Los Angeles Kings,0,
11/17/2021,Chicago Blackhawks,4,Seattle Kraken,2,
11/17/2021,Colorado Avalanche,4,Vancouver Canucks,2,
11/18/2021,Carolina Hurricanes,2,Anaheim Ducks,1,
11/18/2021,Columbus Blue Jackets,5,Arizona Coyotes,4,
11/18/2021,Calgary Flames,5,Buffalo Sabres,0,
11/18/2021,Winnipeg Jets,1,Edmonton Oilers,2,
11/18/2021,New Jersey Devils,1,Florida Panthers,4,
11/18/2021,Dallas Stars,2,Minnesota Wild,7,
11/18/2021,Pittsburgh Penguins,6,Montreal Canadiens,0,
11/18/2021,Tampa Bay Lightning,4,Philadelphia Flyers,3,
11/18/2021,San Jose Sharks,1,St. Louis Blues,4,
11/18/2021,New York Rangers,1,Toronto Maple Leafs,2,
11/18/2021,Detroit Red Wings,2,Vegas Golden Knights,5,
11/19/2021,Colorado Avalanche,7,Seattle Kraken,3,
11/19/2021,Winnipeg Jets,2,Vancouver Canucks,3,
11/20/2021,Detroit Red Wings,1,Arizona Coyotes,2,
11/20/2021,St. Louis Blues,1,Dallas Stars,4,
11/20/2021,Chicago Blackhawks,2,Edmonton Oilers,5,
11/20/2021,Minnesota Wild,4,Florida Panthers,5,
11/20/2021,Carolina Hurricanes,5,Los Angeles Kings,4,
11/20/2021,Nashville Predators,3,Montreal Canadiens,6,
11/20/2021,Calgary Flames,5,New York Islanders,2,
11/20/2021,Boston Bruins,5,Philadelphia Flyers,2,
11/20/2021,Washington Capitals,4,San Jose Sharks,0,
11/20/2021,New Jersey Devils,5,Tampa Bay Lightning,3,
11/20/2021,Pittsburgh Penguins,2,Toronto Maple Leafs,0,
11/20/2021,Columbus Blue Jackets,2,Vegas Golden Knights,3,
11/21/2021,Calgary Flames,4,Boston Bruins,0,
11/21/2021,Arizona Coyotes,2,Los Angeles Kings,1,
11/21/2021,Toronto Maple Leafs,3,New York Islanders,0,
11/21/2021,Buffalo Sabres,4,New York Rangers,5,
11/21/2021,Washington Capitals,2,Seattle Kraken,5,
11/21/2021,Minnesota Wild,4,Tampa Bay Lightning,5,
11/21/2021,Chicago Blackhawks,1,Vancouver Canucks,0,
11/22/2021,Columbus Blue Jackets,7,Buffalo Sabres,4,
11/22/2021,Ottawa Senators,5,Colorado Avalanche,7,
11/22/2021,Anaheim Ducks,2,Nashville Predators,3,
11/22/2021,Carolina Hurricanes,1,San Jose Sharks,2,
11/22/2021,Vegas Golden Knights,2,St. Louis Blues,5,
11/22/2021,Pittsburgh Penguins,3,Winnipeg Jets,1,
11/23/2021,Chicago Blackhawks,2,Calgary Flames,5,
11/23/2021,Edmonton Oilers,1,Dallas Stars,4,
11/23/2021,Philadelphia Flyers,0,Tampa Bay Lightning,4,
11/24/2021,Edmonton Oilers,5,Arizona Coyotes,3,
11/24/2021,Boston Bruins,5,Buffalo Sabres,1,
11/24/2021,Winnipeg Jets,0,Columbus Blue Jackets,3,
11/24/2021,Anaheim Ducks,2,Colorado Avalanche,5,
11/24/2021,St. Louis Blues,2,Detroit Red Wings,4,
11/24/2021,Philadelphia Flyers,1,Florida Panthers,2,
11/24/2021,Toronto Maple Leafs,6,Los Angeles Kings,2,
11/24/2021,Minnesota Wild,3,New Jersey Devils,2,
11/24/2021,Vegas Golden Knights,5,Nashville Predators,2,
11/24/2021,New York Rangers,4,New York Islanders,1,
11/24/2021,Vancouver Canucks,1,Pittsburgh Penguins,4,
11/24/2021,Carolina Hurricanes,1,Seattle Kraken,2,
11/24/2021,Ottawa Senators,3,San Jose Sharks,6,
11/24/2021,Montreal Canadiens,3,Washington Capitals,6,
11/26/2021,Ottawa Senators,0,Anaheim Ducks,4,
11/26/2021,New York Rangers,5,Boston Bruins,2,
11/26/2021,Montreal Canadiens,1,Buffalo Sabres,4,
11/26/2021,Vancouver Canucks,2,Columbus Blue Jackets,4,
11/26/2021,St. Louis Blues,2,Chicago Blackhawks,3,
11/26/2021,Colorado Avalanche,1,Dallas Stars,3,
11/26/2021,Winnipeg Jets,1,Minnesota Wild,7,
11/26/2021,New Jersey Devils,2,Nashville Predators,4,
11/26/2021,Pittsburgh Penguins,1,New York Islanders,0,
11/26/2021,Carolina Hurricanes,6,Philadelphia Flyers,3,
11/26/2021,Toronto Maple Leafs,4,San Jose Sharks,1,
11/26/2021,Seattle Kraken,0,Tampa Bay Lightning,3,
11/26/2021,Florida Panthers,3,Washington Capitals,4,
11/27/2021,Dallas Stars,3,Arizona Coyotes,2,
11/27/2021,Winnipeg Jets,4,Calgary Flames,2,
11/27/2021,Nashville Predators,2,Colorado Avalanche,6,
11/27/2021,Buffalo Sabres,2,Detroit Red Wings,3,
11/27/2021,Seattle Kraken,4,Florida Panthers,1,
11/27/2021,Ottawa Senators,2,Los Angeles Kings,4,
11/27/2021,Montreal Canadiens,6,Pittsburgh Penguins,3,
11/27/2021,Columbus Blue Jackets,3,St. Louis Blues,6,
11/27/2021,Edmonton Oilers,3,Vegas Golden Knights,2,
11/28/2021,Toronto Maple Leafs,5,Anaheim Ducks,1,
11/28/2021,Vancouver Canucks,2,Boston Bruins,3,
11/28/2021,Washington Capitals,4,Carolina Hurricanes,2,
11/28/2021,San Jose Sharks,2,Chicago Blackhawks,0,
11/28/2021,Tampa Bay Lightning,2,Minnesota Wild,4,
11/28/2021,Philadelphia Flyers,2,New Jersey Devils,5,
11/29/2021,Seattle Kraken,7,Buffalo Sabres,4,
11/29/2021,Pittsburgh Penguins,1,Calgary Flames,2,
11/29/2021,Vancouver Canucks,2,Montreal Canadiens,1,
11/29/2021,Arizona Coyotes,1,Winnipeg Jets,0,
11/30/2021,Detroit Red Wings,2,Boston Bruins,1,
11/30/2021,Carolina Hurricanes,1,Dallas Stars,4,
11/30/2021,Washington Capitals,4,Florida Panthers,5,
11/30/2021,Anaheim Ducks,5,Los Angeles Kings,4,
11/30/2021,Arizona Coyotes,2,Minnesota Wild,5,
11/30/2021,San Jose Sharks,5,New Jersey Devils,2,
11/30/2021,Columbus Blue Jackets,0,Nashville Predators,6,
11/30/2021,Tampa Bay Lightning,3,St. Louis Blues,4,
12/1/2021,Vegas Golden Knights,5,Anaheim Ducks,6,
12/1/2021,Seattle Kraken,3,Detroit Red Wings,4,
12/1/2021,Pittsburgh Penguins,2,Edmonton Oilers,5,
12/1/2021,Philadelphia Flyers,1,New York Rangers,4,
12/1/2021,Vancouver Canucks,6,Ottawa Senators,2,
12/1/2021,Colorado Avalanche,3,Toronto Maple Leafs,8,
12/2/2021,Ottawa Senators,3,Carolina Hurricanes,2,
12/2/2021,Columbus Blue Jackets,2,Dallas Stars,3,
12/2/2021,Buffalo Sabres,4,Florida Panthers,7,
12/2/2021,Calgary Flames,3,Los Angeles Kings,2,
12/2/2021,New Jersey Devils,2,Minnesota Wild,5,
12/2/2021,Colorado Avalanche,4,Montreal Canadiens,1,
12/2/2021,Boston Bruins,2,Nashville Predators,0,
12/2/2021,San Jose Sharks,2,New York Islanders,1,
12/2/2021,St. Louis Blues,2,Tampa Bay Lightning,4,
12/2/2021,Chicago Blackhawks,4,Washington Capitals,3,
12/3/2021,Calgary Flames,4,Anaheim Ducks,3,
12/3/2021,Vegas Golden Knights,7,Arizona Coyotes,1,
12/3/2021,San Jose Sharks,0,New York Rangers,1,
12/3/2021,Edmonton Oilers,3,Seattle Kraken,4,
12/3/2021,New Jersey Devils,4,Winnipeg Jets,8,
12/4/2021,Tampa Bay Lightning,3,Boston Bruins,2,
12/4/2021,Buffalo Sabres,2,Carolina Hurricanes,6,
12/4/2021,New York Islanders,3,Detroit Red Wings,4,
12/4/2021,St. Louis Blues,3,Florida Panthers,4,
12/4/2021,Toronto Maple Leafs,3,Minnesota Wild,4,
12/4/2021,Montreal Canadiens,3,Nashville Predators,4,
12/4/2021,Chicago Blackhawks,2,New York Rangers,3,
12/4/2021,Colorado Avalanche,5,Ottawa Senators,6,
12/4/2021,Pittsburgh Penguins,4,Vancouver Canucks,1,
12/4/2021,Columbus Blue Jackets,1,Washington Capitals,3,
12/5/2021,San Jose Sharks,4,Columbus Blue Jackets,6,
12/5/2021,Los Angeles Kings,5,Edmonton Oilers,1,
12/5/2021,Chicago Blackhawks,3,New York Islanders,2,
12/5/2021,Tampa Bay Lightning,7,Philadelphia Flyers,1,
12/5/2021,Calgary Flames,2,Vegas Golden Knights,3,
12/5/2021,Toronto Maple Leafs,3,Winnipeg Jets,6,
12/6/2021,Arizona Coyotes,1,Dallas Stars,4,
12/6/2021,Ottawa Senators,3,New Jersey Devils,2,
12/6/2021,Colorado Avalanche,7,Philadelphia Flyers,5,
12/6/2021,Pittsburgh Penguins,6,Seattle Kraken,1,
12/6/2021,Los Angeles Kings,0,Vancouver Canucks,4,
12/6/2021,Anaheim Ducks,3,Washington Capitals,4,
12/7/2021,Anaheim Ducks,2,Buffalo Sabres,0,
12/7/2021,New York Rangers,6,Chicago Blackhawks,2,
12/7/2021,Nashville Predators,5,Detroit Red Wings,2,
12/7/2021,Minnesota Wild,4,Edmonton Oilers,1,
12/7/2021,Tampa Bay Lightning,3,Montreal Canadiens,2,
12/7/2021,New York Islanders,5,Ottawa Senators,3,
12/7/2021,Calgary Flames,3,San Jose Sharks,5,
12/7/2021,Florida Panthers,3,St. Louis Blues,4,
12/7/2021,Columbus Blue Jackets,4,Toronto Maple Leafs,5,
12/7/2021,Carolina Hurricanes,4,Winnipeg Jets,2,
12/8/2021,Philadelphia Flyers,0,New Jersey Devils,3,
12/8/2021,Colorado Avalanche,7,New York Rangers,3,
12/8/2021,Boston Bruins,1,Vancouver Canucks,2,
12/8/2021,Dallas Stars,4,Vegas Golden Knights,5,
12/9/2021,Anaheim Ducks,2,Columbus Blue Jackets,1,
12/9/2021,Carolina Hurricanes,2,Calgary Flames,1,
12/9/2021,Boston Bruins,3,Edmonton Oilers,2,
12/9/2021,Dallas Stars,0,Los Angeles Kings,4,
12/9/2021,Chicago Blackhawks,2,Montreal Canadiens,0,
12/9/2021,Nashville Predators,4,New York Islanders,3,
12/9/2021,Winnipeg Jets,3,Seattle Kraken,0,
12/9/2021,Minnesota Wild,5,San Jose Sharks,2,
12/9/2021,Detroit Red Wings,2,St. Louis Blues,6,
12/9/2021,Tampa Bay Lightning,5,Toronto Maple Leafs,3,
12/10/2021,Florida Panthers,3,Arizona Coyotes,1,
12/10/2021,New York Rangers,2,Buffalo Sabres,1,
12/10/2021,Detroit Red Wings,3,Colorado Avalanche,7,
12/10/2021,Nashville Predators,3,New Jersey Devils,2,
12/10/2021,Winnipeg Jets,3,Vancouver Canucks,4,
12/10/2021,Philadelphia Flyers,4,Vegas Golden Knights,3,
12/10/2021,Pittsburgh Penguins,4,Washington Capitals,2,
12/11/2021,Philadelphia Flyers,5,Arizona Coyotes,3,
12/11/2021,Washington Capitals,3,Buffalo Sabres,2,
12/11/2021,Boston Bruins,4,Calgary Flames,2,
12/11/2021,Carolina Hurricanes,3,Edmonton Oilers,1,
12/11/2021,Minnesota Wild,1,Los Angeles Kings,2,
12/11/2021,New Jersey Devils,2,New York Islanders,4,
12/11/2021,Tampa Bay Lightning,0,Ottawa Senators,4,
12/11/2021,Anaheim Ducks,0,Pittsburgh Penguins,1,
12/11/2021,Columbus Blue Jackets,5,Seattle Kraken,4,
12/11/2021,Dallas Stars,1,San Jose Sharks,2,
12/11/2021,Montreal Canadiens,1,St. Louis Blues,4,
12/11/2021,Chicago Blackhawks,4,Toronto Maple Leafs,5,
12/12/2021,Florida Panthers,2,Colorado Avalanche,3,
12/12/2021,Nashville Predators,1,New York Rangers,0,
12/12/2021,Anaheim Ducks,3,St. Louis Blues,2,
12/12/2021,Carolina Hurricanes,1,Vancouver Canucks,2,
12/12/2021,Minnesota Wild,4,Vegas Golden Knights,6,
12/14/2021,Vegas Golden Knights,4,Boston Bruins,1,
12/14/2021,New York Rangers,2,Colorado Avalanche,4,
12/14/2021,St. Louis Blues,4,Dallas Stars,1,
12/14/2021,New York Islanders,1,Detroit Red Wings,2,
12/14/2021,Toronto Maple Leafs,5,Edmonton Oilers,1,
12/14/2021,Ottawa Senators,8,Florida Panthers,2,
12/14/2021,New Jersey Devils,1,Philadelphia Flyers,6,
12/14/2021,Montreal Canadiens,2,Pittsburgh Penguins,5,
12/14/2021,Seattle Kraken,3,San Jose Sharks,1,
12/14/2021,Los Angeles Kings,2,Tampa Bay Lightning,3,
12/14/2021,Columbus Blue Jackets,3,Vancouver Canucks,4,
12/14/2021,Buffalo Sabres,4,Winnipeg Jets,2,
12/15/2021,Seattle Kraken,1,Anaheim Ducks,4,
12/15/2021,New York Rangers,3,Arizona Coyotes,2,
12/15/2021,Washington Capitals,4,Chicago Blackhawks,5,
